title	time	revert	version	user
University_of_Cambridge 	2002-11-04 15:42:14	0	18	152.78.0.28
University_of_Cambridge 	2002-11-04 15:36:36	0	17	152.78.0.28
University_of_Cambridge 	2002-10-23 15:17:33	0	16	Willsmith
University_of_Cambridge 	2002-09-29 05:18:18	0	15	Isis
University_of_Cambridge 	2002-08-28 07:04:59	0	14	62.253.64.7
University_of_Cambridge 	2002-08-23 03:00:57	0	13	The_Anome
University_of_Cambridge 	2002-08-23 03:00:17	0	12	The_Anome
University_of_Cambridge 	2002-08-23 02:58:46	0	11	The_Anome
University_of_Cambridge 	2002-08-19 02:18:32	0	10	217.168.172.202
University_of_Cambridge 	2002-08-19 02:11:42	0	9	Ianp
University_of_Cambridge 	2002-08-14 16:28:05	0	8	195.149.37.247
University_of_Cambridge 	2002-07-30 17:43:24	0	7	Hotlorp
University_of_Cambridge 	2002-07-30 17:42:49	0	6	Hotlorp
University_of_Cambridge 	2002-05-14 03:03:12	0	5	62.253.64.7
University_of_Cambridge 	2002-04-20 07:31:28	0	4	Robert_Merkel
University_of_Cambridge 	2002-02-25 15:51:15	0	3	Conversion_script
University_of_Cambridge 	2001-12-09 02:16:27	0	2	Matthew_Woodcraft
University_of_Cambridge 	2001-08-21 01:23:33	0	1	John_Lynch
Bubble_sort 	2002-12-18 21:15:26	0	19	AxelBoldt
Bubble_sort 	2002-12-18 08:11:28	0	18	Isis
Bubble_sort 	2002-11-13 21:58:59	1	17	FvdP
Bubble_sort 	2002-11-13 21:53:17	1	16	FvdP
Bubble_sort 	2002-11-13 21:48:57	0	17	Jmallios
Bubble_sort 	2002-11-13 20:59:59	0	16	198.214.36.133
Bubble_sort 	2002-11-13 20:58:03	0	15	198.214.36.133
Bubble_sort 	2002-11-04 20:29:46	0	14	198.214.36.133
Bubble_sort 	2002-10-08 14:30:56	0	13	AxelBoldt
Bubble_sort 	2002-10-07 10:31:26	0	12	Jeronimo
Bubble_sort 	2002-10-07 10:25:44	0	11	Isis
Bubble_sort 	2002-09-06 17:40:43	0	10	Andre_Engels
Bubble_sort 	2002-03-23 23:55:54	0	9	Hari
